RawAbundance,sample,group
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
26725786.06,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
118482.2813,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2270674.766,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
1569603.125,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
434992.7188,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
138227.8594,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
921785.4375,Abundance.F1.Sample.non.treated,non_treated
10043358.19,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
14373567.3,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
321444.9375,Abundance.F1.Sample.non.treated,non_treated
554765.7031,Abundance.F1.Sample.non.treated,non_treated
162944.2344,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
391581.7188,Abundance.F1.Sample.non.treated,non_treated
1193512.25,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
3579489.266,Abundance.F1.Sample.non.treated,non_treated
157804.4688,Abundance.F1.Sample.non.treated,non_treated
35787410.02,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
694939.5156,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
477505.4688,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
5414154.406,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2946626.891,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
543236.75,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2259153.188,Abundance.F1.Sample.non.treated,non_treated
214928.8359,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
260071.6797,Abundance.F1.Sample.non.treated,non_treated
41213411.05,Abundance.F1.Sample.non.treated,non_treated
96256.17969,Abundance.F1.Sample.non.treated,non_treated
499427.7656,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
130753.2109,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
723189.7656,Abundance.F1.Sample.non.treated,non_treated
2210909.125,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
401211.6563,Abundance.F1.Sample.non.treated,non_treated
499244.7656,Abundance.F1.Sample.non.treated,non_treated
3203608.336,Abundance.F1.Sample.non.treated,non_treated
338661.0938,Abundance.F1.Sample.non.treated,non_treated
266795.7188,Abundance.F1.Sample.non.treated,non_treated
425532.2813,Abundance.F1.Sample.non.treated,non_treated
3068611.172,Abundance.F1.Sample.non.treated,non_treated
6264725.469,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
4025725.578,Abundance.F1.Sample.non.treated,non_treated
7558132.906,Abundance.F1.Sample.non.treated,non_treated
337099.9063,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
675935.8125,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
628429.5,Abundance.F1.Sample.non.treated,non_treated
346525.5938,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
35064863.55,Abundance.F1.Sample.non.treated,non_treated
15346019.23,Abundance.F1.Sample.non.treated,non_treated
1449413.5,Abundance.F1.Sample.non.treated,non_treated
630409.1875,Abundance.F1.Sample.non.treated,non_treated
6570840.5,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
2789383,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
727509.0625,Abundance.F1.Sample.non.treated,non_treated
73166.89063,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
992032.9063,Abundance.F1.Sample.non.treated,non_treated
122362.1875,Abundance.F1.Sample.non.treated,non_treated
1491143.688,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
265534.6875,Abundance.F1.Sample.non.treated,non_treated
,Abundance.F1.Sample.non.treated,non_treated
