RawAbundance,sample,group
166717.5313,Abundance.F21.Sample.non.treated,non_treated
3465781.313,Abundance.F21.Sample.non.treated,non_treated
111702.4219,Abundance.F21.Sample.non.treated,non_treated
374638.0625,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
1955625.875,Abundance.F21.Sample.non.treated,non_treated
430955.1328,Abundance.F21.Sample.non.treated,non_treated
858872.3438,Abundance.F21.Sample.non.treated,non_treated
185090.2344,Abundance.F21.Sample.non.treated,non_treated
17453913.35,Abundance.F21.Sample.non.treated,non_treated
152422.5938,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
42522064.66,Abundance.F21.Sample.non.treated,non_treated
963464.9219,Abundance.F21.Sample.non.treated,non_treated
138790.1055,Abundance.F21.Sample.non.treated,non_treated
601753.4844,Abundance.F21.Sample.non.treated,non_treated
55586.76953,Abundance.F21.Sample.non.treated,non_treated
8089325.828,Abundance.F21.Sample.non.treated,non_treated
166549.25,Abundance.F21.Sample.non.treated,non_treated
581559.25,Abundance.F21.Sample.non.treated,non_treated
335724.0938,Abundance.F21.Sample.non.treated,non_treated
1395631.688,Abundance.F21.Sample.non.treated,non_treated
262731.9219,Abundance.F21.Sample.non.treated,non_treated
1761478.719,Abundance.F21.Sample.non.treated,non_treated
3880913.055,Abundance.F21.Sample.non.treated,non_treated
897254.7266,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
9998686.961,Abundance.F21.Sample.non.treated,non_treated
27547270.61,Abundance.F21.Sample.non.treated,non_treated
1575093.875,Abundance.F21.Sample.non.treated,non_treated
911768.875,Abundance.F21.Sample.non.treated,non_treated
2428861.188,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
,Abundance.F21.Sample.non.treated,non_treated
12167423.47,Abundance.F21.Sample.non.treated,non_treated
17194144.38,Abundance.F21.Sample.non.treated,non_treated
3055191.211,Abundance.F21.Sample.non.treated,non_treated
649029.1875,Abundance.F21.Sample.non.treated,non_treated
